product,forums,news,twitter,video,convo_vol,positive_vol,neutral_vol,negative_vol,senti_score_avg,senti_score_wk,week,units,index,views,group,cat,period
an,14159,588,6469,10207,31423,7530,11005,12888,33.71428571,32,16,33118,0.972266667,3298103,an,Action,postlaunch
an,11032,699,7693,9709,29133,7052,10428,11653,35.14285714,33,17,27751,0.851533333,2708825,an,Action,postlaunch
an,9773,433,5944,10854,27004,6652,9060,11292,35.28571429,31,18,15325,0.832533333,3432367,an,Action,postlaunch
an,7800,36,4603,6841,19280,5183,6940,7157,45,39,19,13467,0.696966667,2193909,an,Action,postlaunch
an,9972,180,4952,13713,28817,6741,9344,12732,31.14285714,35,20,16961,0.7075,1752593,an,Action,postlaunch
an,7112,130,4907,7399,19548,4927,7598,7023,43.57142857,53,21,23757,0.798233333,1920598,an,Action,postlaunch
an,8911,275,4253,3387,16826,4088,6455,6283,40,38,22,14863,0.806233333,1786009,an,Action,postlaunch
an,8924,75,5185,7249,21433,4982,8202,8249,37.57142857,33,23,12455,0.859966667,1381405,an,Action,postlaunch
an,19561,893,12015,12050,44519,10249,18000,16270,38.14285714,42,24,11997,1.0566,2423715,an,Action,postlaunch
an,20349,478,13256,10185,44268,10490,19983,13795,47.85714286,49,25,14897,0.885733333,2228415,an,Action,postlaunch
an,15605,310,7627,10532,34074,7571,14223,12280,38.85714286,38,26,25023,0.799833333,1859655,an,Action,postlaunch
an,14283,139,4282,5255,23959,6375,9359,8225,48.28571429,52,27,16447,0.745566667,1392439,an,Action,postlaunch
an,13262,175,6080,5155,24672,6153,9455,9064,41.14285714,46,28,11904,0.765066667,1439562,an,Action,postlaunch
an,12312,359,5017,3967,21655,5382,8725,7548,45.14285714,47,29,11050,0.722566667,1829148,an,Action,postlaunch
an,11316,948,6913,13720,32897,7451,11224,14222,33.85714286,34,30,9765,0.781966667,3034545,an,Action,postlaunch
an,7936,103,3508,3704,15251,3699,5561,5991,36.28571429,39,31,10421,0.611833333,1567442,an,Action,postlaunch
an,6342,50,2604,2108,11104,2750,4044,4310,38.28571429,40,32,12432,0.5823,1082680,an,Action,postlaunch
an,8254,111,3407,3399,15171,3811,5948,5412,43.14285714,43,33,10992,0.579,1212398,an,Action,postlaunch
an,11626,188,6475,3046,21335,5307,8883,7145,47,42,34,9346,0.694166667,1152297,an,Action,postlaunch
an,12560,126,5957,6109,24752,6016,9712,9024,39.57142857,41,35,12196,0.694566667,1712545,an,Action,postlaunch
an,9015,228,4135,5602,18980,4960,7198,6822,44.71428571,47,36,11097,0.637866667,1671949,an,Action,postlaunch
an,6414,845,7382,3207,17848,4268,7709,5871,44.71428571,44,37,8653,0.591333333,1443589,an,Action,postlaunch
an,8087,1198,8090,8716,26091,6187,9978,9926,41.14285714,36,38,6197,0.618466667,1645391,an,Action,postlaunch
an,7632,299,5090,8952,21973,5628,8487,7858,45.42857143,49,39,25059,0.736566667,3081725,an,Action,postlaunch
an,7552,66,3728,2402,13748,3673,5380,4695,49.71428571,50,40,99276,1.064233333,1382670,an,Action,postlaunch
an,6204,44,3032,2483,11763,3026,5203,3534,52.57142857,59,41,43142,0.774766667,1198660,an,Action,postlaunch
an,8655,91,5763,3539,18048,4792,7873,5383,54.28571429,57,42,30021,0.710933333,1338476,an,Action,postlaunch
an,7948,235,3179,4467,15829,3858,7188,4783,49.85714286,42,43,39832,0.6363,1191672,an,Action,postlaunch
an,6508,50,3117,2773,12448,3227,5496,3725,54.14285714,56,44,52561,0.762166667,1165069,an,Action,postlaunch
an,7221,36,3379,3131,13767,3472,5980,4315,50.57142857,58,45,31043,0.7241,1253493,an,Action,postlaunch
an,6743,32,3474,3127,13376,3451,5635,4290,50.28571429,46,46,20943,0.5587,1912818,an,Action,postlaunch
an,7492,41,4210,3134,14877,3769,6314,4794,49.28571429,48,47,10052,0.5934,1079958,an,Action,postlaunch
an,7562,45,3682,2788,14077,3549,6093,4435,50.57142857,53,48,20982,0.5774,1053174,an,Action,postlaunch
an,8231,142,3928,2909,15210,3832,6551,4827,49.71428571,47,49,9264,0.536733333,1450777,an,Action,postlaunch
an,7908,167,2885,4955,15915,4041,6482,5392,47.85714286,40,50,6993,0.550533333,1089096,an,Action,postlaunch
an,11599,1743,19968,23470,56780,13775,21734,21271,42.57142857,56,51,6953,0.877633333,5000203,an,Action,postlaunch
an,7846,55,3365,2767,14033,3846,5900,4287,55,50,52,37537,0.567,2063534,an,Action,postlaunch
an,7703,354,6840,8324,23221,7005,9321,6895,60.85714286,54,53,44396,0.592433333,3315412,an,Action,postlaunch
an,4671,27,2517,2280,9495,2580,4422,2493,60.85714286,65,54,25334,0.465633333,2746781,an,Action,postlaunch
an,4212,49,1851,1868,7980,2131,3709,2140,59.85714286,67,55,11143,0.4064,1604372,an,Action,postlaunch
an,3695,12,1822,1455,6984,1648,3501,1835,55.57142857,63,56,7470,0.429033333,1191014,an,Action,postlaunch
an,3261,33,2557,1632,7483,1855,3802,1826,59.57142857,61,57,4216,0.4581,1008443,an,Action,postlaunch
an,4157,15,3308,1822,9302,2558,4350,2394,61.71428571,49,58,11906,0.518933333,1021596,an,Action,postlaunch
an,4094,20,3578,2007,9699,2315,5004,2380,57.57142857,64,59,23082,0.5519,1495472,an,Action,postlaunch
an,4945,41,3122,4745,12853,3337,6132,3384,58.71428571,46,60,21592,0.573566667,1571424,an,Action,postlaunch
an,5120,14,2045,2324,9503,2592,4028,2883,55.71428571,65,61,10172,0.5075,1123161,an,Action,postlaunch
an,4745,17,1701,2981,9444,2753,4206,2485,64.71428571,71,62,9155,0.515666667,1065467,an,Action,postlaunch
an,4443,57,3015,1821,9336,2516,4335,2485,60.71428571,61,63,9800,0.5177,1136870,an,Action,postlaunch
an,5237,696,6230,2155,14318,3790,6245,4283,61,64,64,12345,0.569933333,2008278,an,Action,postlaunch
an,5528,382,4135,8504,18549,4570,7240,6739,42.57142857,47,65,23582,0.5509,2278787,an,Action,postlaunch
an,4340,49,1621,2345,8355,2259,3615,2481,55.85714286,58,66,20025,0.452466667,1645954,an,Action,postlaunch
an,4852,62,3197,2466,10577,2238,5715,2624,51.85714286,57,67,9572,0.379033333,1701525,an,Action,postlaunch
an,5601,46,1430,1943,9020,2392,3916,2712,55.42857143,55,68,17274,0.4466,1418799,an,Action,postlaunch
an,5292,82,2764,2033,10171,2587,4214,3370,48.14285714,52,69,9919,0.480833333,1930714,an,Action,postlaunch
an,3350,50,1913,1948,7261,2047,3210,2004,61.14285714,63,70,4524,0.402033333,1940767,an,Action,postlaunch
an,4749,34,1955,1338,8076,1988,3913,2175,55.28571429,57,71,3545,NA,1855843,an,Action,postlaunch
an,4546,39,1234,1060,6879,1784,3160,1935,54.71428571,50,72,15792,0.4195,1991676,an,Action,postlaunch
an,3320,21,1301,931,5573,1517,2501,1555,59.42857143,58,73,12703,0.421666667,1676140,an,Action,postlaunch
an,4397,215,3533,2451,10596,2818,4908,2870,58.42857143,59,74,9909,0.455766667,1024515,an,Action,postlaunch
an,6687,422,5006,5204,17319,4590,7472,5257,52,54,75,11847,0.4956,1306169,an,Action,postlaunch
an,7495,202,3795,6927,18419,5075,7918,5426,56,68,76,14836,0.505733333,1397366,an,Action,postlaunch
an,4357,90,2781,19137,26365,5622,10998,9745,46.71428571,57,77,15636,0.429766667,1335355,an,Action,postlaunch
